level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	640	720	-1	
2	1	1	0	0	0	118	245	368	37	-1	
3	1	1	1	0	0	118	245	368	37	-1	
4	1	1	1	1	0	118	245	368	17	-1	
5	1	1	1	1	1	118	245	44	13	96	What
5	1	1	1	1	2	169	246	73	16	92	Happens
5	1	1	1	1	3	247	245	42	13	92	After
5	1	1	1	1	4	295	245	85	17	93	Disclosing
5	1	1	1	1	5	387	245	99	17	92	Stigmatized
4	1	1	1	2	0	119	265	333	17	-1	
5	1	1	1	2	1	119	265	102	17	95	Experiences
5	1	1	1	2	2	227	269	19	9	96	on
5	1	1	1	2	3	253	265	81	13	96	Identified
5	1	1	1	2	4	341	265	48	13	96	Social
5	1	1	1	2	5	396	265	56	13	96	Media:
2	1	2	0	0	0	119	315	333	72	-1	
3	1	2	1	0	0	119	315	334	72	-1	
4	1	2	1	1	0	119	315	333	72	-1	
5	1	2	1	1	1	119	321	53	11	92	Nazanin
5	1	2	1	1	2	177	321	57	11	92	Andalibi
5	1	2	1	1	3	416	315	36	72	71	)
2	1	3	0	0	0	74	220	492	282	-1	
3	1	3	1	0	0	74	220	492	282	-1	
4	1	3	1	1	0	74	220	492	282	-1	
5	1	3	1	1	1	74	220	492	282	95	 

