level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	640	720	-1	
2	1	1	0	0	0	51	221	301	20	-1	
3	1	1	1	0	0	51	221	301	20	-1	
4	1	1	1	1	0	51	221	301	20	-1	
5	1	1	1	1	1	51	222	75	19	96	Main
5	1	1	1	1	2	139	221	213	20	95	Contributions
2	1	2	0	0	0	50	282	527	39	-1	
3	1	2	1	0	0	50	282	527	39	-1	
4	1	2	1	1	0	50	282	527	17	-1	
5	1	2	1	1	1	50	282	15	13	96	>
5	1	2	1	1	2	75	282	72	17	84	Explore
5	1	2	1	1	3	156	282	32	13	96	the
5	1	2	1	1	4	197	286	32	9	96	use
5	1	2	1	1	5	237	282	20	13	96	of
5	1	2	1	1	6	264	282	32	13	96	the
5	1	2	1	1	7	303	283	99	16	96	periphery
5	1	2	1	1	8	408	282	20	13	96	of
5	1	2	1	1	9	434	282	32	13	93	the
5	1	2	1	1	10	475	282	102	17	91	finger-pad
4	1	2	1	2	0	65	305	199	16	-1	
5	1	2	1	2	1	65	305	27	13	96	for
5	1	2	1	2	2	100	305	61	16	96	haptic
5	1	2	1	2	3	168	305	96	15	96	feedback,
2	1	3	0	0	0	51	334	511	39	-1	
3	1	3	1	0	0	51	334	511	39	-1	
4	1	3	1	1	0	51	334	511	17	-1	
5	1	3	1	1	1	51	334	14	13	87	>
5	1	3	1	1	2	74	335	62	13	95	Anew
5	1	3	1	1	3	143	337	99	14	96	prototype
5	1	3	1	1	4	252	335	50	16	96	using
5	1	3	1	1	5	310	339	9	9	93	a
5	1	3	1	1	6	329	335	181	13	92	motion-controlled
5	1	3	1	1	7	519	335	43	13	91	ball-
4	1	3	1	2	0	66	357	280	16	-1	
5	1	3	1	2	1	66	357	74	16	96	bearing
5	1	3	1	2	2	147	357	27	13	96	for
5	1	3	1	2	3	182	357	61	16	96	haptic
5	1	3	1	2	4	250	357	96	16	96	feedback,
2	1	4	0	0	0	0	174	640	372	-1	
3	1	4	1	0	0	0	174	640	372	-1	
4	1	4	1	1	0	0	174	640	372	-1	
5	1	4	1	1	1	0	174	640	372	95	 

